run_id,constraint_met,F1_neg,F1_pos,Recall_neg,Recall_pos,Precision_neg,Precision_pos,Macro_F1,PR_AUC_neg,threshold,penalty,C,class_weight,ngram_range,min_df,max_df,sublinear_tf,stopwords_enabled,n_features,coef_sparsity,runtime_seconds,Brier_Score,ECE,confusion_matrix
run.2026-01-10_056,True,0.887992,0.964773,0.918580,0.954774,0.859375,0.974984,0.926383,0.938259,0.344211,l2,5.000000,,"(1, 1)",10,0.900000,True,True,2420,0.000000,1.924168,0.039847,0.007603,"[[440, 39], [72, 1520]]"
run.2026-01-10_064,True,0.887992,0.964773,0.918580,0.954774,0.859375,0.974984,0.926383,0.938259,0.344211,l2,5.000000,,"(1, 1)",10,0.950000,True,True,2420,0.000000,2.396036,0.039847,0.007603,"[[440, 39], [72, 1520]]"
run.2026-01-10_072,True,0.887992,0.964773,0.918580,0.954774,0.859375,0.974984,0.926383,0.938259,0.344211,l2,5.000000,,"(1, 1)",10,1.000000,True,True,2420,0.000000,2.202716,0.039847,0.007603,"[[440, 39], [72, 1520]]"
run.2026-01-10_102,True,0.887984,0.965190,0.910230,0.957915,0.866799,0.972577,0.926587,0.940223,0.404076,l2,1.000000,,"(1, 2)",5,0.900000,True,True,7959,0.012564,8.703892,0.041610,0.012290,"[[436, 43], [67, 1525]]"
run.2026-01-10_110,True,0.887984,0.965190,0.910230,0.957915,0.866799,0.972577,0.926587,0.940223,0.404076,l2,1.000000,,"(1, 2)",5,0.950000,True,True,7959,0.012564,8.671600,0.041610,0.012290,"[[436, 43], [67, 1525]]"
run.2026-01-10_118,True,0.887984,0.965190,0.910230,0.957915,0.866799,0.972577,0.926587,0.940223,0.404076,l2,1.000000,,"(1, 2)",5,1.000000,True,True,7959,0.012564,8.760846,0.041610,0.012290,"[[436, 43], [67, 1525]]"
run.2026-01-10_031,True,0.887538,0.964818,0.914405,0.956030,0.862205,0.973768,0.926178,0.936677,0.356175,l2,3.000000,,"(1, 1)",5,0.900000,True,True,4066,0.004919,7.400586,0.040775,0.010287,"[[438, 41], [70, 1522]]"
run.2026-01-10_039,True,0.887538,0.964818,0.914405,0.956030,0.862205,0.973768,0.926178,0.936677,0.356175,l2,3.000000,,"(1, 1)",5,0.950000,True,True,4066,0.004919,7.360762,0.040775,0.010287,"[[438, 41], [70, 1522]]"
run.2026-01-10_047,True,0.887538,0.964818,0.914405,0.956030,0.862205,0.973768,0.926178,0.936677,0.356175,l2,3.000000,,"(1, 1)",5,1.000000,True,True,4066,0.004919,7.523876,0.040775,0.010287,"[[438, 41], [70, 1522]]"
run.2026-01-10_122,True,0.887295,0.965256,0.903967,0.959799,0.871227,0.970775,0.926275,0.935257,0.386899,l2,1.000000,,"(1, 2)",10,0.900000,True,False,6312,0.000000,8.988837,0.043275,0.011151,"[[433, 46], [64, 1528]]"
run.2026-01-10_130,True,0.887295,0.965256,0.903967,0.959799,0.871227,0.970775,0.926275,0.935257,0.386899,l2,1.000000,,"(1, 2)",10,0.950000,True,False,6312,0.000000,9.176686,0.043275,0.011151,"[[433, 46], [64, 1528]]"
run.2026-01-10_138,True,0.887295,0.965256,0.903967,0.959799,0.871227,0.970775,0.926275,0.935257,0.386899,l2,1.000000,,"(1, 2)",10,1.000000,True,False,6312,0.000000,9.160829,0.043275,0.011151,"[[433, 46], [64, 1528]]"
run.2026-01-10_051,True,0.887097,0.964444,0.918580,0.954146,0.857700,0.974968,0.925771,0.938998,0.368254,l2,3.000000,,"(1, 1)",10,0.900000,True,False,2466,0.000000,7.430417,0.040554,0.009139,"[[440, 39], [73, 1519]]"
run.2026-01-10_059,True,0.887097,0.964444,0.918580,0.954146,0.857700,0.974968,0.925771,0.938998,0.368254,l2,3.000000,,"(1, 1)",10,0.950000,True,False,2466,0.000000,7.523685,0.040554,0.009139,"[[440, 39], [73, 1519]]"
